26-03-12 13:02:27.700 [main] INFO  c.e.journalApp.JournalApplication - Starting JournalApplication using Java 23.0.1 with PID 11308 (C:\Users\User\Downloads\SpringBoot\journalApp\target\classes started by User in C:\Users\User\Downloads\SpringBoot\journalApp)
26-03-12 13:02:33.764 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/23.0.1+11-39"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='Shreyas', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@68dfda77, com.mongodb.Jep395RecordCodecProvider@50cdfafa, com.mongodb.KotlinCodecProvider@2e952845]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.kmbdk.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-by7hcy-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
26-03-12 13:02:33.815 [cluster-ClusterId{value='69b26c118cbb67468fe0b50b', description='Cluster0'}-srv-cluster0.kmbdk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.kmbdk.mongodb.net:27017 to client view of cluster
26-03-12 13:02:33.888 [cluster-ClusterId{value='69b26c118cbb67468fe0b50b', description='Cluster0'}-srv-cluster0.kmbdk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.kmbdk.mongodb.net:27017 to client view of cluster
26-03-12 13:02:33.905 [cluster-ClusterId{value='69b26c118cbb67468fe0b50b', description='Cluster0'}-srv-cluster0.kmbdk.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.kmbdk.mongodb.net:27017 to client view of cluster
26-03-12 13:02:34.866 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 1. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-01.kmbdk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-02.kmbdk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-00.kmbdk.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
26-03-12 13:02:36.091 [cluster-ClusterId{value='69b26c118cbb67468fe0b50b', description='Cluster0'}-cluster0-shard-00-02.kmbdk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.kmbdk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=974125100, setName='atlas-by7hcy-shard-0', canonicalAddress=cluster0-shard-00-02.kmbdk.mongodb.net:27017, hosts=[cluster0-shard-00-02.kmbdk.mongodb.net:27017, cluster0-shard-00-00.kmbdk.mongodb.net:27017, cluster0-shard-00-01.kmbdk.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.kmbdk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=348, topologyVersion=TopologyVersion{processId=69b024dd48a0b7f0ff853cbf, counter=3}, lastWriteDate=Thu Mar 12 13:02:33 IST 2026, lastUpdateTimeNanos=1635786636294300}
26-03-12 13:02:36.091 [cluster-ClusterId{value='69b26c118cbb67468fe0b50b', description='Cluster0'}-cluster0-shard-00-00.kmbdk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.kmbdk.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=971642100, setName='atlas-by7hcy-shard-0', canonicalAddress=cluster0-shard-00-00.kmbdk.mongodb.net:27017, hosts=[cluster0-shard-00-02.kmbdk.mongodb.net:27017, cluster0-shard-00-00.kmbdk.mongodb.net:27017, cluster0-shard-00-01.kmbdk.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.kmbdk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=348, topologyVersion=TopologyVersion{processId=69b0242a4ebf7bd82b651a9f, counter=4}, lastWriteDate=Thu Mar 12 13:02:33 IST 2026, lastUpdateTimeNanos=1635786635699500}
26-03-12 13:02:36.093 [cluster-ClusterId{value='69b26c118cbb67468fe0b50b', description='Cluster0'}-cluster0-shard-00-01.kmbdk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.kmbdk.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=980497100, setName='atlas-by7hcy-shard-0', canonicalAddress=cluster0-shard-00-01.kmbdk.mongodb.net:27017, hosts=[cluster0-shard-00-02.kmbdk.mongodb.net:27017, cluster0-shard-00-00.kmbdk.mongodb.net:27017, cluster0-shard-00-01.kmbdk.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.kmbdk.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000003bd, setVersion=348, topologyVersion=TopologyVersion{processId=69b024839c2b0b76e7cb2211, counter=6}, lastWriteDate=Thu Mar 12 13:02:33 IST 2026, lastUpdateTimeNanos=1635786642689200}
26-03-12 13:02:36.114 [cluster-ClusterId{value='69b26c118cbb67468fe0b50b', description='Cluster0'}-cluster0-shard-00-01.kmbdk.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-01.kmbdk.mongodb.net:27017 with max election id 7fffffff00000000000003bd and max set version 348
26-03-12 13:02:37.935 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
26-03-12 13:02:38.891 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
26-03-12 13:02:40.289 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
26-03-12 13:02:40.316 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal'
26-03-12 13:02:40.344 [main] INFO  c.e.journalApp.JournalApplication - Started JournalApplication in 13.901 seconds (process running for 16.107)
